Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
5,22,1,16,0,0,0.0,-6.803032010794e-05,-1.250555214938e-12,0.0,101.0,-104.09375,4.169102231271e-09,2.560176248749,-5.453824996948e-06,0.005898777395487,9.13068652153e-06,5153.655954361,0.0,7.636845111847e-08,-0.4127559167807,-7.264316082001e-08,0.9595453754536,204.03125,1.012982983104,-7.718178635977e-09,6.250260348431e-11,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,101.0,-5850.0,4.0
8,22,1,16,1,59,44.0,-5.232682451606e-05,-1.591615728103e-12,0.0,20.0,125.8125,4.428755904031e-09,-3.022804791039,6.550922989845e-06,0.007127370568924,3.92273068428e-06,5153.711456299,7184.0,-9.313225746155e-08,-2.487922546337,-6.519258022308e-08,0.9652202833791,308.75,0.07995995840179,-8.035334703944e-09,2.542963067476e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,20.0,0.0,4.0
10,22,1,16,2,0,0.0,-0.0002946481108665,-9.663381206337e-12,0.0,22.0,-97.25,3.937306861778e-09,-1.044177845924,-5.181878805161e-06,0.007432790007442,9.665265679359e-06,5153.681917191,7200.0,2.402812242508e-07,-0.3756286885455,1.862645149231e-09,0.9724040654925,199.59375,-2.536260759498,-7.644961300467e-09,-2.821546100149e-11,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,22.0,30.0,4.0
13,22,1,16,0,0,0.0,0.0002459743991494,6.025402399246e-12,0.0,40.0,12.59375,4.495544400326e-09,1.597451225238,6.258487701416e-07,0.005791415809654,6.929039955139e-06,5153.670495987,0.0,-1.434236764908e-07,0.8076031049624,-1.676380634308e-08,0.9683760054105,249.125,0.9702711192296,-7.918186967127e-09,5.10021244432e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,40.0,-2310.0,4.0
14,22,1,16,2,0,0.0,-7.120706140995e-05,-5.343281372916e-12,0.0,218.0,75.5625,4.403397704904e-09,-0.3187937052774,3.891065716743e-06,0.001329686143436,1.084618270397e-05,5153.651000977,7200.0,-5.587935447693e-09,2.809042768272,0.0,0.954439718211,166.375,3.037619354273,-7.797824810703e-09,-3.103700710164e-10,1.0,2193.0,0.0,2.0,0.0,-7.916241884232e-09,730.0,90.0,4.0
15,22,1,16,2,0,0.0,-9.122537449002e-05,2.84217094304e-12,0.0,66.0,2.09375,5.10699844127e-09,2.249147303019,-4.656612873077e-08,0.01392170344479,8.339062333107e-06,5153.72426796,7200.0,5.40167093277e-08,0.5499436036785,-3.129243850708e-07,0.9299389505471,202.15625,1.070175617659,-8.01033366255e-09,5.735953211189e-10,1.0,2193.0,0.0,2.0,0.0,-1.071020960808e-08,66.0,120.0,4.0
16,22,1,16,0,0,0.0,-0.0004561701789498,-5.456968210638e-12,0.0,93.0,91.9375,3.960879272235e-09,3.014498927352,4.572793841362e-06,0.01264321745839,1.079030334949e-05,5153.597723007,0.0,-8.009374141693e-08,2.858515622158,-1.899898052216e-07,0.9710181144592,177.375,0.6975605154868,-7.402094041214e-09,-2.860833450911e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,93.0,-6870.0,4.0
18,22,1,16,2,0,0.0,0.0002600140869617,-7.389644451905e-12,0.0,56.0,-67.1875,4.459471469172e-09,1.149750698406,-3.432855010033e-06,0.002087281085551,1.4528632164e-06,5153.630426407,7200.0,2.98023223877e-08,-1.400026147017,-5.40167093277e-08,0.9701951323387,353.15625,3.111552802629,-8.290702483894e-09,-2.56796410887e-10,1.0,2193.0,0.0,2.0,0.0,-8.381903171539e-09,56.0,180.0,4.0
21,22,1,16,2,0,0.0,0.00015619257465,7.958078640513e-13,0.0,103.0,-69.0,4.603048878319e-09,-2.957327745028,-3.227964043617e-06,0.02452208718751,-1.490116119385e-07,5153.600313187,7200.0,2.235174179077e-08,-1.498415492414,4.153698682785e-07,0.9589800088181,376.75,-1.026060317954,-8.046406593704e-09,-1.132190017402e-10,1.0,2193.0,0.0,2.8,0.0,-1.024454832077e-08,103.0,210.0,4.0
23,22,1,16,2,0,0.0,1.077586784959e-05,-3.865352482535e-12,0.0,91.0,-105.84375,4.060169122341e-09,0.3069707129623,-5.684792995453e-06,0.001957356231287,9.147450327873e-06,5153.704490662,7200.0,6.146728992462e-08,-0.400320219264,-1.862645149231e-09,0.9674389888257,208.0,2.912090170644,-7.764609141423e-09,-4.250177036933e-11,1.0,2193.0,0.0,2.0,0.0,-8.381903171539e-09,347.0,240.0,4.0
24,22,1,16,2,0,0.0,0.0002771345898509,-1.136868377216e-13,0.0,75.0,-9.0,5.514158258253e-09,1.26903653242,-5.122274160385e-07,0.01227851770818,5.455687642097e-06,5153.689334869,7200.0,-1.490116119385e-07,1.645190407093,1.061707735062e-07,0.9339820640562,261.71875,0.8011553081572,-8.548570367983e-09,-3.171560679661e-10,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,75.0,270.0,4.0
27,22,1,16,2,0,0.0,7.075816392899e-05,2.160049916711e-11,0.0,26.0,116.875,4.212318317109e-09,-3.092854962852,5.91017305851e-06,0.0100176166743,4.040077328682e-06,5153.651613235,7200.0,-3.352761268616e-08,-2.468746289924,-1.471489667892e-07,0.9738924207913,309.8125,0.6299790223207,-7.874613723555e-09,2.396528396456e-10,1.0,2193.0,0.0,2.8,0.0,1.862645149231e-09,26.0,300.0,4.0
32,22,1,16,2,0,0.0,-5.121389403939e-05,-6.139089236967e-12,0.0,42.0,8.65625,4.523759861328e-09,-2.411708904625,4.749745130539e-07,0.005418440094218,7.864087820053e-06,5153.758407593,7200.0,-2.421438694e-08,0.6662553076821,-5.40167093277e-08,0.9578829343662,226.71875,-2.373685115341,-7.767466403296e-09,5.885959459551e-10,1.0,2193.0,0.0,2.0,0.0,4.656612873077e-10,42.0,330.0,4.0
21,22,1,16,1,59,44.0,0.0001561921089888,7.958078640513e-13,0.0,0.0,-69.0,4.603406036053e-09,-2.959661618701,-3.227964043617e-06,0.02452208625618,-1.490116119385e-07,5153.600324631,7184.0,2.235174179077e-08,-1.498415359289,4.153698682785e-07,0.9589800073551,376.75,-1.026060325268,-8.046763751438e-09,-1.12861844006e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,0.0,1230.0,4.0
1,22,1,16,2,0,0.0,0.0004562386311591,-9.777068044059e-12,0.0,68.0,-75.46875,4.204460846956e-09,0.9642345340673,-3.794208168983e-06,0.0112619290594,1.758337020874e-06,5153.672481537,7200.0,-1.080334186554e-07,-1.408301404995,1.396983861923e-07,0.986402370178,360.375,0.8821843305184,-8.302845846856e-09,-3.357282701443e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,68.0,1530.0,4.0
12,22,1,16,1,59,44.0,-0.0001564496196806,-5.684341886081e-12,0.0,0.0,66.46875,4.166244969397e-09,-0.3648734084535,3.485009074211e-06,0.008580567198806,1.056306064129e-05,5153.622253418,7184.0,-4.284083843231e-08,2.839835577316,1.285225152969e-07,0.9710444440588,187.875,1.23773885718,-7.781752712664e-09,-2.317953694933e-10,1.0,2193.0,0.0,2.0,0.0,-1.257285475731e-08,0.0,3210.0,4.0
31,22,1,16,2,0,0.0,-0.0001601446419954,-1.818989403546e-12,0.0,39.0,-8.875,4.915204738007e-09,-0.1494037813929,-2.682209014893e-07,0.01046062691603,5.878508090973e-06,5153.666360855,7200.0,1.024454832077e-07,1.745432380242,8.381903171539e-08,0.9547796140605,261.0625,0.3665507230289,-8.242129032043e-09,-2.53224833545e-10,1.0,2193.0,0.0,2.0,0.0,-1.303851604462e-08,39.0,3510.0,4.0
25,22,1,16,1,59,44.0,0.000271497759968,5.570655048359e-12,0.0,13.0,57.21875,4.464114519717e-09,-0.5965791045429,3.12551856041e-06,0.01037012063898,1.019798219204e-05,5153.72759819,7184.0,1.862645149231e-08,2.763526990757,1.806765794754e-07,0.9584191040827,186.28125,0.9721697850137,-7.951402636407e-09,-2.989410235221e-10,1.0,2193.0,0.0,2.0,0.0,5.587935447693e-09,13.0,4800.0,4.0
17,22,1,16,2,0,0.0,0.0005620163865387,5.229594535194e-12,0.0,70.0,124.4375,4.151244344561e-09,-3.117358836291,6.524845957756e-06,0.01372272230219,3.024935722351e-06,5153.744668961,7200.0,2.607703208923e-07,-2.406483457798,2.235174179077e-08,0.9802397385311,329.59375,-1.508250452205,-7.855327205909e-09,2.396528396456e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,70.0,4920.0,4.0
10,22,1,16,4,0,0.0,-0.0002947174943984,-9.663381206337e-12,0.0,23.0,-98.625,4.009452724085e-09,0.00612756257472,-5.18374145031e-06,0.007434081286192,8.966773748398e-06,5153.684991837,14400.0,2.421438694e-08,-0.3756844388906,8.568167686462e-08,0.9724030282836,211.5625,-2.536395437199,-7.816397012881e-09,-4.643050544549e-11,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,23.0,7230.0,4.0
12,22,1,16,3,59,44.0,-0.0001564905978739,-5.684341886081e-12,0.0,5.0,72.0625,3.981594420818e-09,0.6852881176636,3.626570105553e-06,0.008582947193645,1.101568341255e-05,5153.626869202,14384.0,-1.210719347e-07,2.839780251218,7.450580596924e-09,0.9710424149914,171.78125,1.237784729902,-7.7549658826e-09,-3.46085844436e-10,1.0,2193.0,0.0,2.0,0.0,-1.257285475731e-08,5.0,7260.0,4.0
17,22,1,16,4,0,0.0,0.0005620545707643,5.229594535194e-12,0.0,72.0,116.3125,4.092313318419e-09,-2.067167163821,6.301328539848e-06,0.01372218085453,2.935528755188e-06,5153.746269226,14400.0,1.620501279831e-07,-2.406540132708,1.750886440277e-07,0.9802418422073,332.75,-1.508307290961,-7.86139888739e-09,3.014411276615e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,72.0,7350.0,4.0
21,22,1,16,3,59,44.0,0.0001561981625855,7.958078640513e-13,0.0,3.0,-49.8125,4.754840915352e-09,-1.909553042903,-1.998618245125e-06,0.02452544996049,1.581385731697e-06,5153.592107773,14384.0,-3.22237610817e-07,-1.498473542466,5.085021257401e-07,0.9589782269838,350.0,-1.025939946128,-8.271415966247e-09,-1.178620522847e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,3.0,7410.0,4.0
23,22,1,16,4,0,0.0,1.074839383364e-05,-3.865352482535e-12,0.0,92.0,-109.9375,4.132672142383e-09,1.357369340064,-5.641952157021e-06,0.001957322587259,8.895993232727e-06,5153.703800201,14400.0,4.097819328308e-08,-0.4003760646987,9.313225746155e-09,0.9674386845387,211.09375,2.91185040276,-7.757108829005e-09,-5.214502919263e-11,1.0,2193.0,0.0,2.0,0.0,-8.381903171539e-09,348.0,7320.0,4.0
24,22,1,16,4,0,0.0,0.0002771336585283,-1.136868377216e-13,0.0,87.0,-9.28125,5.348079911852e-09,2.319208486217,-6.034970283508e-07,0.01227847766131,5.368143320084e-06,5153.689481735,14400.0,-9.685754776001e-08,1.645128846037,-2.421438694e-07,0.9339815227765,262.46875,0.8011619132323,-8.236057350562e-09,-1.828647599084e-10,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,87.0,7470.0,4.0
25,22,1,16,3,59,44.0,0.0002715378068388,5.570655048359e-12,0.0,14.0,61.90625,4.341966574622e-09,0.4535201232078,3.129243850708e-06,0.01037114742212,1.059286296368e-05,5153.729511261,14384.0,-1.564621925354e-07,2.763470324626,1.266598701477e-07,0.9584168628922,176.5,0.9722176414529,-7.900329080417e-09,-3.985880313628e-10,1.0,2193.0,0.0,2.0,0.0,5.587935447693e-09,14.0,7500.0,4.0
31,22,1,16,4,0,0.0,-0.0001601576805115,-1.818989403546e-12,0.0,40.0,-11.5625,4.850916345851e-09,0.9008030937217,-4.135072231293e-07,0.01046031143051,5.917623639107e-06,5153.66566658,14400.0,-8.009374141693e-08,1.745374161954,1.825392246246e-07,0.9547778556329,261.8125,0.3665315383212,-8.116052351872e-09,-3.743013054375e-10,1.0,2193.0,0.0,2.0,0.0,-1.303851604462e-08,40.0,7560.0,4.0
32,22,1,16,4,0,0.0,-5.125813186169e-05,-6.139089236967e-12,0.0,67.0,7.5,4.604477509256e-09,-1.361569784561,3.539025783539e-07,0.005418541608378,7.878988981247e-06,5153.758443832,14400.0,1.750886440277e-07,0.6661999303812,-4.284083843231e-08,0.9578864629246,228.0,-2.373695156811,-7.866041937935e-09,4.51804533758e-10,1.0,2193.0,0.0,2.0,0.0,4.656612873077e-10,67.0,7590.0,4.0
1,22,1,16,4,0,0.0,0.0004561683163047,-9.777068044059e-12,0.0,69.0,-69.375,4.148744240422e-09,2.014489628425,-3.762543201447e-06,0.0112618827261,1.795589923859e-06,5153.670877457,14400.0,-2.477318048477e-07,-1.408361637721,-2.011656761169e-07,0.9864015641102,359.875,0.8821097056042,-8.031048811133e-09,-1.542921411727e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,69.0,7620.0,4.0
3,22,1,16,3,59,44.0,-8.008582517505e-05,-1.512034941697e-11,0.0,24.0,-107.21875,3.94945022474e-09,0.8446483936931,-5.606561899185e-06,0.00386774004437,9.778887033463e-06,5153.70602417,14384.0,-7.264316082001e-08,-0.3728882611614,1.490116119385e-08,0.9725707781739,196.21875,0.9758592058929,-7.702106537939e-09,1.071473202588e-12,1.0,2193.0,0.0,2.0,0.0,1.862645149231e-09,24.0,7650.0,4.0
19,22,1,16,3,59,44.0,0.0001061479561031,5.002220859751e-12,0.0,7.0,105.59375,4.286607125821e-09,0.3283111547917,5.49852848053e-06,0.008933016099036,3.315508365631e-06,5153.680088043,14384.0,-6.705522537231e-08,-2.36162535705,-1.080334186554e-07,0.9789380720601,328.09375,1.997056990423,-8.253200921803e-09,2.464388365953e-10,1.0,2193.0,0.0,2.0,0.0,-1.583248376846e-08,7.0,7950.0,4.0
26,22,1,16,4,0,0.0,0.0001747622154653,3.410605131648e-12,0.0,31.0,45.90625,4.777699010341e-09,-0.1932077940744,2.479180693626e-06,0.006779862102121,9.769573807716e-06,5153.688486099,14400.0,9.872019290924e-08,2.717072679612,5.40167093277e-08,0.939233506937,179.0,0.3503955197227,-8.09462288782e-09,-3.307280618656e-10,1.0,2193.0,0.0,2.0,0.0,6.984919309616e-09,31.0,11190.0,4.0
4,22,1,16,4,29,36.0,-0.0001947348937392,1.818989403546e-12,0.0,180.0,11.5625,4.569833209039e-09,-2.189730854508,5.140900611877e-07,0.001647087512538,7.739290595055e-06,5153.656064987,16176.0,-2.048909664154e-08,0.7078282678885,3.166496753693e-08,0.9610019561717,231.65625,-3.102930909139,-7.848184051225e-09,5.096640866978e-10,1.0,2193.0,0.0,2.0,0.0,-4.19095158577e-09,180.0,12060.0,4.0
6,22,1,16,4,0,0.0,0.0001722099259496,1.1027623259e-11,0.0,59.0,-77.46875,4.202317900551e-09,2.38171692327,-3.784894943237e-06,0.002634725300595,1.028180122375e-06,5153.652458191,14400.0,7.264316082001e-08,-1.416630613928,3.725290298462e-09,0.9857838484141,370.875,-0.9991061957091,-8.141410551e-09,-2.489389407347e-10,1.0,2193.0,0.0,2.0,0.0,4.19095158577e-09,59.0,13890.0,4.0
3,22,1,16,6,0,0.0,-8.019432425499e-05,-1.512034941697e-11,0.0,30.0,-102.6875,3.939092650449e-09,1.897285466858,-5.429610610008e-06,0.003867282532156,9.525567293167e-06,5153.704807281,21600.0,-6.332993507385e-08,-0.3729439763964,-1.024454832077e-07,0.9725711380517,201.34375,0.9757138693705,-7.625317625086e-09,3.571577341961e-11,1.0,2193.0,0.0,2.0,0.0,1.862645149231e-09,30.0,14400.0,4.0
4,22,1,16,6,0,0.0,-0.0001947255805135,1.818989403546e-12,0.0,181.0,12.125,4.541260590303e-09,-1.398412759036,5.15952706337e-07,0.001647038618103,7.791444659233e-06,5153.656602859,21600.0,-5.40167093277e-08,0.7077859910189,-3.911554813385e-08,0.961004611368,229.53125,-3.103104664308,-7.838540792401e-09,4.564475843026e-10,1.0,2193.0,0.0,2.0,0.0,-4.19095158577e-09,181.0,14430.0,4.0
6,22,1,16,6,0,0.0,0.0001722890883684,1.1027623259e-11,0.0,60.0,-73.40625,4.215175578982e-09,-2.851400382145,-3.665685653687e-06,0.002634834265336,1.316890120506e-06,5153.652395248,21600.0,-5.587935447693e-08,-1.416689720208,8.195638656616e-08,0.9857826224888,367.78125,-0.9989825805943,-8.091765625946e-09,-1.317912039184e-10,1.0,2193.0,0.0,2.0,0.0,4.19095158577e-09,60.0,14460.0,4.0
12,22,1,16,6,0,0.0,-0.0001565311104059,-5.684341886081e-12,0.0,6.0,77.59375,3.910877189447e-09,1.737909616603,3.919005393982e-06,0.008582664653659,1.100264489651e-05,5153.625452042,21600.0,-1.005828380585e-07,2.839724117588,-2.086162567139e-07,0.9710407735973,171.03125,1.237703283401,-7.589244693933e-09,-2.69654089318e-10,1.0,2193.0,0.0,2.0,0.0,-1.257285475731e-08,6.0,14520.0,4.0
25,22,1,16,6,0,0.0,0.0002715778537095,5.570655048359e-12,0.0,29.0,62.90625,4.251248510136e-09,1.505949368379,3.211200237274e-06,0.01037213800009,1.097284257412e-05,5153.731363297,21600.0,-2.346932888031e-07,2.763413273746,-1.303851604462e-08,0.9584139165752,165.96875,0.9722660128392,-7.85032699763e-09,-3.97159400426e-10,1.0,2193.0,0.0,2.0,0.0,5.587935447693e-09,29.0,14670.0,4.0
26,22,1,16,6,0,0.0,0.0001747868955135,3.410605131648e-12,0.0,32.0,48.96875,4.708053252173e-09,0.8568890578973,2.659857273102e-06,0.006779969087802,1.008436083794e-05,5153.68901825,21600.0,-4.842877388e-08,2.717015362481,1.583248376846e-07,0.9392312335623,172.65625,0.350472249776,-7.980332412877e-09,-4.307322274405e-10,1.0,2193.0,0.0,2.0,0.0,6.984919309616e-09,32.0,14700.0,4.0
31,22,1,16,6,0,0.0,-0.0001601707190275,-1.818989403546e-12,0.0,57.0,-10.78125,4.928062416438e-09,1.951030629628,-5.345791578293e-07,0.01046021014918,6.05545938015e-06,5153.664878845,21600.0,-1.545995473862e-07,1.745315915871,6.705522537231e-08,0.9547748961497,264.71875,0.3664927344192,-8.087122575402e-09,-4.103742365913e-10,1.0,2193.0,0.0,2.0,0.0,-1.303851604462e-08,57.0,14730.0,4.0
32,22,1,16,6,0,0.0,-5.130190402269e-05,-6.139089236967e-12,0.0,70.0,5.59375,4.706624621236e-09,-0.3114076835171,2.73808836937e-07,0.00541853334289,7.785856723785e-06,5153.758676529,21600.0,3.352761268616e-08,0.6661428034302,5.774199962616e-08,0.9578888942945,228.65625,-2.373727474134,-8.026048602854e-09,4.264463346301e-10,1.0,2193.0,0.0,2.0,0.0,4.656612873077e-10,70.0,14760.0,4.0
1,22,1,16,6,0,0.0,0.000456097535789,-9.777068044059e-12,0.0,83.0,-66.34375,4.083384375064e-09,3.064645084895,-3.546476364136e-06,0.01126138283871,1.531094312668e-06,5153.671922684,21600.0,-1.862645149231e-08,-1.408418644713,-2.086162567139e-07,0.9864011252348,362.875,0.8821335731127,-7.886399928784e-09,-1.464346710204e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,83.0,14790.0,4.0
16,22,1,16,6,0,0.0,-0.0004562865942717,-5.456968210638e-12,0.0,31.0,62.71875,4.035882396416e-09,-0.1180749182029,3.470107913017e-06,0.01264528324828,1.022964715958e-05,5153.591802597,21600.0,8.381903171539e-08,2.858351621727,1.750886440277e-07,0.9710125846288,188.46875,0.6976278272735,-7.821754378894e-09,-2.285809498855e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,31.0,15660.0,4.0
29,22,1,16,6,0,0.0,-0.0004679034464061,-4.888534022029e-12,0.0,37.0,120.125,4.099099315368e-09,-0.8882203758639,6.012618541718e-06,0.001769319991581,3.693625330925e-06,5153.767566681,21600.0,-1.862645149231e-09,-2.393651362147,-3.166496753693e-08,0.9822276247631,321.4375,2.293304668933,-8.045335120501e-09,3.175132257003e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,37.0,15690.0,4.0
9,22,1,16,6,0,0.0,-0.0003577671013772,1.250555214938e-12,0.0,54.0,9.78125,4.737697344111e-09,-0.587706150903,4.041939973831e-07,0.002331619965844,7.975846529007e-06,5153.634672165,21600.0,-5.587935447693e-08,0.6550737581314,3.911554813385e-08,0.9540304946738,222.34375,1.857988941772,-7.981046728346e-09,4.893060958486e-10,1.0,2193.0,0.0,2.0,0.0,1.396983861923e-09,54.0,16950.0,4.0
2,22,1,16,6,0,0.0,-0.0006487411446869,-9.094947017729e-13,0.0,70.0,-64.90625,4.620906765029e-09,-3.056470914556,-3.166496753693e-06,0.02068989677355,-1.471489667892e-07,5153.678771973,21600.0,3.46451997757e-07,-1.497100944949,1.676380634308e-07,0.9647371590722,382.21875,-1.457008722627,-8.104980462112e-09,-1.071473202588e-10,1.0,2193.0,0.0,2.0,0.0,-1.769512891769e-08,70.0,18750.0,4.0
2,22,1,16,8,0,0.0,-0.000648747663945,-9.094947017729e-13,0.0,89.0,-52.3125,4.569833209039e-09,-2.006363256009,-2.1792948246e-06,0.02069075871259,2.607703208923e-07,5153.675909042,28800.0,2.030283212662e-07,-1.49715944558,3.017485141754e-07,0.9647369045244,373.03125,-1.456937959817,-8.090694152744e-09,-3.000124967247e-11,1.0,2193.0,0.0,2.0,0.0,-1.769512891769e-08,89.0,21600.0,4.0
3,22,1,16,8,0,0.0,-8.030328899622e-05,-1.512034941697e-11,0.0,31.0,-106.1875,3.952664644348e-09,2.947376769982,-5.533918738365e-06,0.003867424558848,9.283423423767e-06,5153.704917908,28800.0,-4.656612873077e-08,-0.3729987041618,-6.146728992462e-08,0.9725714964666,203.90625,0.9757798879376,-7.592816271275e-09,2.321525272275e-11,1.0,2193.0,0.0,2.0,0.0,1.862645149231e-09,31.0,21630.0,4.0
4,22,1,16,8,0,0.0,-0.0001947125419974,1.818989403546e-12,0.0,182.0,6.75,4.552689637797e-09,-0.347855181496,1.993030309677e-07,0.001647511147894,7.815659046173e-06,5153.658054352,28800.0,1.303851604462e-08,0.7077296701358,-1.676380634308e-08,0.9610075591479,228.59375,-3.103471335947,-7.881399720505e-09,4.096599211229e-10,1.0,2193.0,0.0,2.0,0.0,-4.19095158577e-09,182.0,21660.0,4.0
6,22,1,16,8,0,0.0,0.0001723682507873,1.1027623259e-11,0.0,64.0,-65.46875,4.234462096629e-09,-1.801471133772,-3.296881914139e-06,0.002635947195813,1.726672053337e-06,5153.650003433,28800.0,-8.009374141693e-08,-1.416747957513,1.862645149231e-08,0.9857817915513,361.125,-0.99871880915,-8.081408051655e-09,-1.142904749427e-10,1.0,2193.0,0.0,2.0,0.0,4.19095158577e-09,64.0,21690.0,4.0
9,22,1,16,8,0,0.0,-0.0003577582538128,1.250555214938e-12,0.0,55.0,7.5,4.711624829515e-09,0.4624939362717,2.924352884293e-07,0.002332156291232,8.083879947662e-06,5153.635688782,28800.0,-4.656612873077e-08,0.6550164951291,-2.048909664154e-08,0.9540338052574,219.25,1.857994710057,-7.983903990219e-09,4.460900100109e-10,1.0,2193.0,0.0,2.0,0.0,1.396983861923e-09,55.0,21720.0,4.0
16,22,1,16,8,0,0.0,-0.0004563257098198,-5.456968210638e-12,0.0,32.0,72.75,3.892304987269e-09,0.9320377142662,3.982335329056e-06,0.01264743565116,1.106783747673e-05,5153.596704483,28800.0,-1.974403858185e-07,2.85829695833,9.872019290924e-08,0.9710105438581,172.3125,0.6977405626665,-7.698534960597e-09,-4.435899058715e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,32.0,21750.0,4.0
26,22,1,16,8,0,0.0,0.0001748111099005,3.410605131648e-12,0.0,33.0,51.65625,4.673408951956e-09,1.906834908928,2.726912498474e-06,0.006780727067962,1.084245741367e-05,5153.692127228,28800.0,-1.005828380585e-07,2.716958216512,5.40167093277e-08,0.9392278088711,159.3125,0.3506974411447,-7.964260314838e-09,-4.875203071777e-10,1.0,2193.0,0.0,2.0,0.0,6.984919309616e-09,33.0,21810.0,4.0
29,22,1,16,8,0,0.0,-0.0004679383710027,-4.888534022029e-12,0.0,62.0,118.96875,4.033382292276e-09,0.1617983211724,6.116926670074e-06,0.001769275637344,3.36579978466e-06,5153.767374039,28800.0,-1.862645149231e-09,-2.393709318573,-2.421438694e-08,0.9822299478771,323.53125,2.293406493883,-8.044620805033e-09,3.235849071817e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,62.0,21840.0,4.0
31,22,1,16,8,0,0.0,-0.0001601837575436,-1.818989403546e-12,0.0,90.0,-11.0625,4.885203488334e-09,3.001212652691,-6.798654794693e-07,0.01046007685363,5.841255187988e-06,5153.665155411,28800.0,-7.450580596924e-08,1.74525793165,-8.754432201385e-08,0.9547727939364,265.84375,0.3664999392907,-7.935687696103e-09,-3.635865734116e-10,1.0,2193.0,0.0,2.0,0.0,-1.303851604462e-08,90.0,21870.0,4.0
7,22,1,16,8,0,0.0,0.0003022137098014,3.637978807092e-12,0.0,87.0,-14.40625,4.906275794652e-09,-2.830548300407,-8.810311555862e-07,0.01543857343495,5.807727575302e-06,5153.694637299,28800.0,7.450580596924e-08,1.72727831004,-2.142041921616e-07,0.9505271628259,261.0625,-2.29571630109,-7.876399512226e-09,-2.617966191657e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,87.0,22050.0,4.0
